,date,c13,o18
373,1751.42,-24.78,24.81
374,1751.58,-24.58,26.39
375,1751.75,-24.69,26.69
376,1751.92,-25.21,26.54
377,1752.08,-24.58,25.58
378,1752.25,-23.68,25.51
379,1752.42,-24.05,24.94
380,1752.58,-24.38,25.2
381,1752.75,-25.28,24.13
382,1752.92,-25.2,25.45
383,1753.08,-25.8,24.31
384,1753.25,-25.02,25.1
385,1753.42,-25.17,25.14
386,1753.58,-25.43,25.02
387,1753.75,-25.42,25.05
388,1753.92,-25.65,25.11
389,1754.08,-25.75,24.69
390,1754.25,-25.55,24.66
391,1754.42,-25.23,25.48
392,1754.58,-24.93,25.69
393,1754.75,-25.35,25.07
394,1754.92,-25.58,25.96
395,1755.08,-25.36,25.8
396,1755.25,-25.28,24.51
397,1755.42,-25.41,24.5
398,1755.58,-25.39,24.75
399,1755.75,-25.22,26.26
400,1755.92,-25.47,26.45
401,1756.08,-25.95,25.06
402,1756.25,-25.18,25.19
403,1756.42,-24.83,25.97
404,1756.58,-25.32,25.15
405,1756.75,-25.56,25.15
406,1756.92,-24.5,27.65
407,1757.13,-24.65,27.61
408,1757.38,-25.12,26.46
409,1757.63,-25.19,26.36
410,1757.88,-25.41,25.79
411,1758.08,-25.13,25.79
412,1758.25,-24.91,25.48
413,1758.42,-25.32,24.44
414,1758.58,-25.28,24.85
415,1758.75,-25.26,24.98
416,1758.92,-25.45,24.77
417,1759.08,-25.15,25.91
418,1759.25,-24.96,26.25
419,1759.42,-24.92,26.08
420,1759.58,-25.01,26.05
421,1759.75,-24.89,26.74
422,1759.92,-24.59,27.61
423,1760.17,-24.96,26.28
424,1760.5,-25.12,24.95
425,1760.83,-24.81,25.1
426,1761.08,-24.63,25.27
427,1761.25,-24.61,25.12
428,1761.42,-24.84,24.18
429,1761.58,-25.56,23.9
430,1761.75,-24.71,24.63
431,1761.92,-24.61,24.13
432,1762.08,-25.17,24.6
433,1762.25,-25.25,24.97
434,1762.42,-24.44,26.07
435,1762.58,-24.55,26.11
436,1762.75,-24.73,24.91
437,1762.92,-25.28,24.42
438,1763.08,-25.33,25.49
439,1763.25,-24.84,25.45
